paintId,Name,Brand,hexColorCode,matchValue
428,Verdigris," Vallejo-Game"," #b3ceca"," 4.10"
429,ScarletBloodRed," Vallejo-Game"," #b72a38"," 1.86"
430,BloodyRed," Vallejo-Game"," #bf282e"," 4.51"
431,HeavyOrange," Vallejo-Game"," #ee5527"," 3.46"
432,FilthyBrown," Vallejo-Game"," #f58d2b"," 2.12"
433,HeavyGoldBrown," Vallejo-Game"," #ba8636"," 7.52"
434,PlagueBrown," Vallejo-Game"," #cc9b34"," 4.93"
435,HeavySkintone," Vallejo-Game"," #aa7b62"," 6.48"
436,MoonYellow," Vallejo-Game"," #fff103"," 4.60"
437,PaleYellow," Vallejo-Game"," #d5c179"," 1.16"
438,PaleYellow," Vallejo-Game"," #d5c179"," 4.31"
439,Offwhite," Vallejo-Game"," #f5f4da"," 1.67"
440,CaymanGreen," Vallejo-Game"," #285648"," 4.79"
441,HeavyBrown," Vallejo-Game"," #705d41"," 3.42"
442,HeavyGreen," Vallejo-Game"," #566840"," 7.89"
443,DesertYellow," Vallejo-Game"," #8e7845"," 5.34"
444,HeavyGrey," Vallejo-Game"," #626d54"," 0.71"
445,MagicBlue," Vallejo-Game"," #024381"," 6.64"
446,HeavyRed," Vallejo-Game"," #943238"," 1.17"
447,BronzeFleshtone," Vallejo-Game"," #db945c"," 5.67"
448,Offwhite," Vallejo-Game"," #f5f4da"," 4.93"
449,HeavySkintone," Vallejo-Game"," #aa7b62"," 5.69"
450,HeavyBlue," Vallejo-Game"," #29556d"," 6.35"
451,HeavySienna," Vallejo-Game"," #744642"," 7.82"
452,Earth," Vallejo-Game"," #6f563d"," 7.47"
453,ScorpionGreen," Vallejo-Game"," #48b851"," 7.51"
454,ColdGrey," Vallejo-Game"," #54646d"," 8.10"
455,DwarfSkin," Vallejo-Game"," #cc7c67"," 7.88"
456,HeavyRed," Vallejo-Game"," #943238"," 9.99"
457,Tan," Vallejo-Game"," #9f4746"," 1.43"
458,BoneWhite," Vallejo-Game"," #e8be86"," 5.79"
459,BoneWhite," Vallejo-Game"," #e8be86"," 7.56"
460,FluoYellow," Vallejo-Game"," #eeea50"," 2.57"
461,HeavyCharcoal," Vallejo-Game"," #1c2e2e"," 6.21"
462,DeadWhite," Vallejo-Game"," #ffffff"," 0.00"
463,MoonYellow," Vallejo-Game"," #fff103"," 0.27"
464,SunYellow," Vallejo-Game"," #ffcf07"," 1.35"
465,FluoYellow," Vallejo-Game"," #eeea50"," 5.05"
466,BoneWhite," Vallejo-Game"," #e8be86"," 7.38"
467,HeavyOrange," Vallejo-Game"," #ee5527"," 1.03"
468,ScarletBloodRed," Vallejo-Game"," #b72a38"," 2.59"
469,SquidPink," Vallejo-Game"," #da7fb5"," 7.78"
470,WarlordPurple," Vallejo-Game"," #7d1a44"," 14.76"
471,HeavyViolet," Vallejo-Game"," #4c2e65"," 0.48"
472,GlacierBlue," Vallejo-Game"," #acd0ee"," 6.66"
473,SombreGrey," Vallejo-Game"," #4c5c7d"," 7.04"
474,HeavyBlue," Vallejo-Game"," #29556d"," 6.84"
