MenothWhiteHighlight, P3Formula, #f3f4de, 4.38
CryxBaneHighlight, P3Formula, #93907d, 4.81
BattlefieldBrown, P3Formula, #32251c, 12.66
ThornwoodGreen, P3Formula, #65654b, 6.64
BattlefieldBrown, P3Formula, #32251c, 11.24
GunCorpsBrown, P3Formula, #937d48, 4.75
BastionGrey, P3Formula, #777965, 11.80
SanguineBase, P3Formula, #6c160f, 9.23
NecrotiteGreen, P3Formula, #7fc348, 8.05
KhadorRedBase, P3Formula, #ee2824, 6.96
ThornwoodGreen, P3Formula, #65654b, 7.01
OrdicOlive, P3Formula, #6e7e36, 9.37
MidlundFlesh, P3Formula, #f0a983, 6.62
GreatcoatGrey, P3Formula, #4d5861, 1.26
HammerfallKhaki, P3Formula, #c8bf98, 2.42
IosanGreen, P3Formula, #22a854, 14.00
CygnarBaseBlue, P3Formula, #124b9b, 7.72
TrollbloodBase, P3Formula, #13899b, 4.03
CygnarBlueHighlight, P3Formula, #1f75bb, 10.19
KhardicFlesh, P3Formula, #cb7b5b, 10.36
IronhullGrey, P3Formula, #8e969b, 13.03
MidlundFlesh, P3Formula, #f0a983, 6.66
IdrianFlesh, P3Formula, #9b5e37, 15.09
HammerfallKhaki, P3Formula, #c8bf98, 7.05
GnarlsGreen, P3Formula, #126232, 4.78
KhardicFlesh, P3Formula, #cb7b5b, 7.62
BloodtrackerBrown, P3Formula, #a66a28, 3.07
OrdicOlive, P3Formula, #6e7e36, 7.39
MenothWhiteBase, P3Formula, #efefbb, 8.36
BattlefieldBrown, P3Formula, #32251c, 15.63
EmberOrange, P3Formula, #de8a2b, 8.36
ThamarBlack, P3Formula, #040707, 1.69
